position,week,season_type,lookup_string,player_id,player_name,team_abbr,team_conf,team_division,stat_type,stat_label,stat_values
Defense,9,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-1
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,4
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,24
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,4
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,10,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-1
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,6
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_fumble_recovery,2
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,2
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,6
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,6
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_fumble_recovery,4
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,4
Defense,11,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,7
Defense,12,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,2
Defense,12,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,12,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,1
